"","site","aridity","canopyHDF5","canopy"
"1","ABBY",2.1695,"6",6
"2","BARR",0.4783,"0.3",0.3
"3","BART",1.3107,"20",20
"4","BLAN",0.7773,"4",4
"5","BONA",0.5196,"6.4",6.4
"6","CLBJ",0.468,"16",16
"7","CPER",0.2143,"0.3",0.3
"8","DCFS",0.3822,"1",1
"9","DEJU",0.4561,"6.1",6.1
"10","DELA",0.9129,"30",30
"11","DSNY",0.6894,"2",2
"12","GRSM",1.1175,"31",31
"13","GUAN",0.6145,"6",6
"14","HARV",1.1194,"23",23
"15","HEAL",0.6993,"0.3",0.3
"16","JERC",0.8293,"22",22
"17","JORN",0.1146,"1",1
"18","KONA",0.5792,"1.5",1.5
"19","KONZ",0.5921,"1",1
"20","LAJA",0.5331,"1",1
"21","LENO",0.9862,"38.7",38.7
"22","MLBS",1.0531,"18.9",18.9
"23","MOAB",0.1741,"0.20",0.2
"24","NIWO",0.582,"0.6",0.6
"25","NOGP",0.3465,"0.4",0.4
"26","OAES",0.3605,"1.5",1.5
"27","ONAQ",0.1658,"1",1
"28","ORNL",0.9643,"28",28
"29","OSBS",0.7966,"20",20
"30","PUUM",1.6185,"22",22
"31","RMNP",0.3758,"11",11
"32","SCBI",0.8509,"30",30
"33","SERC",0.7974,"37.19",37.2
"34","SJER",0.269,"12",12
"35","SOAP",0.4189,"24.4",24.4
"36","SRER",0.1532,"2",2
"37","STEI",0.8996,"9.5",9.5
"38","STER",0.248,"3",3
"39","TALL",0.9691,"25",25
"40","TEAK",0.5117,"27",27
"41","TOOL",0.4968,"0.15",0.2
"42","TREE",0.8973,"24",24
"43","UKFS",0.6784,"18",18
"44","UNDE",0.9672,"23",23
"45","WOOD",0.368,"0.5",0.5
"46","WREF",1.8467,"53",53
"47","YELL",0.4805,"16",16
