Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD16A3GF_061_Line_Y_500m,MOD16A3GF_061_Sample_X_500m,MOD16A3GF_061_ET_500m,MOD16A3GF_061_ET_QC_500m,MOD16A3GF_061_ET_QC_500m_bitmask,MOD16A3GF_061_ET_QC_500m_ContinuousLayer,MOD16A3GF_061_ET_QC_500m_ContinuousLayer_Description
Appalachians  Cumberland Plateau,GRSM,35.68896,-83.50195,2003-01-01,h11v05,1034.0,523.0,799.7000122,23.0,0b00010111,0b0,Continuous
Appalachians  Cumberland Plateau,GRSM,35.68896,-83.50195,2004-01-01,h11v05,1034.0,523.0,786.1000366,36.0,0b00100100,0b0,Continuous
Appalachians  Cumberland Plateau,GRSM,35.68896,-83.50195,2005-01-01,h11v05,1034.0,523.0,800.4000244,26.0,0b00011010,0b0,Continuous
Appalachians  Cumberland Plateau,GRSM,35.68896,-83.50195,2006-01-01,h11v05,1034.0,523.0,722.2000122,33.0,0b00100001,0b0,Continuous
Appalachians  Cumberland Plateau,GRSM,35.68896,-83.50195,2007-01-01,h11v05,1034.0,523.0,761.1000366,23.0,0b00010111,0b0,Continuous
Appalachians  Cumberland Plateau,GRSM,35.68896,-83.50195,2008-01-01,h11v05,1034.0,523.0,772.9000244,18.0,0b00010010,0b0,Continuous
Appalachians  Cumberland Plateau,GRSM,35.68896,-83.50195,2009-01-01,h11v05,1034.0,523.0,729.9000244,39.0,0b00100111,0b0,Continuous
Appalachians  Cumberland Plateau,GRSM,35.68896,-83.50195,2010-01-01,h11v05,1034.0,523.0,762.6000366,26.0,0b00011010,0b0,Continuous
Appalachians  Cumberland Plateau,GRSM,35.68896,-83.50195,2011-01-01,h11v05,1034.0,523.0,750.2999878,16.0,0b00010000,0b0,Continuous
Appalachians  Cumberland Plateau,GRSM,35.68896,-83.50195,2012-01-01,h11v05,1034.0,523.0,787.6000366,21.0,0b00010101,0b0,Continuous
Appalachians  Cumberland Plateau,GRSM,35.68896,-83.50195,2013-01-01,h11v05,1034.0,523.0,807.5,26.0,0b00011010,0b0,Continuous
Appalachians  Cumberland Plateau,GRSM,35.68896,-83.50195,2014-01-01,h11v05,1034.0,523.0,778.5,24.0,0b00011000,0b0,Continuous
Appalachians  Cumberland Plateau,GRSM,35.68896,-83.50195,2015-01-01,h11v05,1034.0,523.0,740.2999878,36.0,0b00100100,0b0,Continuous
Appalachians  Cumberland Plateau,GRSM,35.68896,-83.50195,2016-01-01,h11v05,1034.0,523.0,771.7000122,24.0,0b00011000,0b0,Continuous
Appalachians  Cumberland Plateau,GRSM,35.68896,-83.50195,2017-01-01,h11v05,1034.0,523.0,710.9000244,7.0,0b00000111,0b0,Continuous
Appalachians  Cumberland Plateau,GRSM,35.68896,-83.50195,2018-01-01,h11v05,1034.0,523.0,779.7999878,22.0,0b00010110,0b0,Continuous
Appalachians  Cumberland Plateau,GRSM,35.68896,-83.50195,2019-01-01,h11v05,1034.0,523.0,809.0,18.0,0b00010010,0b0,Continuous
Appalachians  Cumberland Plateau,GRSM,35.68896,-83.50195,2020-01-01,h11v05,1034.0,523.0,825.7999878,29.0,0b00011101,0b0,Continuous
Appalachians  Cumberland Plateau,GRSM,35.68896,-83.50195,2021-01-01,h11v05,1034.0,523.0,757.5,28.0,0b00011100,0b0,Continuous
Appalachians  Cumberland Plateau,GRSM,35.68896,-83.50195,2022-01-01,h11v05,1034.0,523.0,787.9000244,35.0,0b00100011,0b0,Continuous
Appalachians  Cumberland Plateau,GRSM,35.68896,-83.50195,2023-01-01,h11v05,1034.0,523.0,818.1000366,24.0,0b00011000,0b0,Continuous
Appalachians  Cumberland Plateau,MLBS,37.37828,-80.52484,2003-01-01,h11v05,629.0,1442.0,675.4000244,37.0,0b00100101,0b0,Continuous
Appalachians  Cumberland Plateau,MLBS,37.37828,-80.52484,2004-01-01,h11v05,629.0,1442.0,639.4000244,40.0,0b00101000,0b0,Continuous
Appalachians  Cumberland Plateau,MLBS,37.37828,-80.52484,2005-01-01,h11v05,629.0,1442.0,682.2000122,40.0,0b00101000,0b0,Continuous
Appalachians  Cumberland Plateau,MLBS,37.37828,-80.52484,2006-01-01,h11v05,629.0,1442.0,638.6000366,39.0,0b00100111,0b0,Continuous
Appalachians  Cumberland Plateau,MLBS,37.37828,-80.52484,2007-01-01,h11v05,629.0,1442.0,705.9000244,28.0,0b00011100,0b0,Continuous
Appalachians  Cumberland Plateau,MLBS,37.37828,-80.52484,2008-01-01,h11v05,629.0,1442.0,707.7000122,24.0,0b00011000,0b0,Continuous
Appalachians  Cumberland Plateau,MLBS,37.37828,-80.52484,2009-01-01,h11v05,629.0,1442.0,651.5,34.0,0b00100010,0b0,Continuous
Appalachians  Cumberland Plateau,MLBS,37.37828,-80.52484,2010-01-01,h11v05,629.0,1442.0,719.7000122,43.0,0b00101011,0b0,Continuous
Appalachians  Cumberland Plateau,MLBS,37.37828,-80.52484,2011-01-01,h11v05,629.0,1442.0,751.0,38.0,0b00100110,0b0,Continuous
Appalachians  Cumberland Plateau,MLBS,37.37828,-80.52484,2012-01-01,h11v05,629.0,1442.0,591.2000122,36.0,0b00100100,0b0,Continuous
Appalachians  Cumberland Plateau,MLBS,37.37828,-80.52484,2013-01-01,h11v05,629.0,1442.0,651.2000122,48.0,0b00110000,0b0,Continuous
Appalachians  Cumberland Plateau,MLBS,37.37828,-80.52484,2014-01-01,h11v05,629.0,1442.0,631.9000244,32.0,0b00100000,0b0,Continuous
Appalachians  Cumberland Plateau,MLBS,37.37828,-80.52484,2015-01-01,h11v05,629.0,1442.0,712.2000122,49.0,0b00110001,0b0,Continuous
Appalachians  Cumberland Plateau,MLBS,37.37828,-80.52484,2016-01-01,h11v05,629.0,1442.0,712.2999878,30.0,0b00011110,0b0,Continuous
Appalachians  Cumberland Plateau,MLBS,37.37828,-80.52484,2017-01-01,h11v05,629.0,1442.0,653.4000244,31.0,0b00011111,0b0,Continuous
Appalachians  Cumberland Plateau,MLBS,37.37828,-80.52484,2018-01-01,h11v05,629.0,1442.0,690.1000366,24.0,0b00011000,0b0,Continuous
Appalachians  Cumberland Plateau,MLBS,37.37828,-80.52484,2019-01-01,h11v05,629.0,1442.0,672.7000122,21.0,0b00010101,0b0,Continuous
Appalachians  Cumberland Plateau,MLBS,37.37828,-80.52484,2020-01-01,h11v05,629.0,1442.0,758.4000244,32.0,0b00100000,0b0,Continuous
Appalachians  Cumberland Plateau,MLBS,37.37828,-80.52484,2021-01-01,h11v05,629.0,1442.0,635.5,34.0,0b00100010,0b0,Continuous
Appalachians  Cumberland Plateau,MLBS,37.37828,-80.52484,2022-01-01,h11v05,629.0,1442.0,667.9000244,31.0,0b00011111,0b0,Continuous
Appalachians  Cumberland Plateau,MLBS,37.37828,-80.52484,2023-01-01,h11v05,629.0,1442.0,638.7999878,23.0,0b00010111,0b0,Continuous
Appalachians  Cumberland Plateau,ORNL,35.96412,-84.2826,2003-01-01,h11v05,968.0,427.0,764.7000122,23.0,0b00010111,0b0,Continuous
Appalachians  Cumberland Plateau,ORNL,35.96412,-84.2826,2004-01-01,h11v05,968.0,427.0,796.7000122,33.0,0b00100001,0b0,Continuous
Appalachians  Cumberland Plateau,ORNL,35.96412,-84.2826,2005-01-01,h11v05,968.0,427.0,707.7000122,13.0,0b00001101,0b0,Continuous
Appalachians  Cumberland Plateau,ORNL,35.96412,-84.2826,2006-01-01,h11v05,968.0,427.0,658.9000244,18.0,0b00010010,0b0,Continuous
Appalachians  Cumberland Plateau,ORNL,35.96412,-84.2826,2007-01-01,h11v05,968.0,427.0,595.5,7.0,0b00000111,0b0,Continuous
Appalachians  Cumberland Plateau,ORNL,35.96412,-84.2826,2008-01-01,h11v05,968.0,427.0,662.1000366,19.0,0b00010011,0b0,Continuous
Appalachians  Cumberland Plateau,ORNL,35.96412,-84.2826,2009-01-01,h11v05,968.0,427.0,679.2000122,22.0,0b00010110,0b0,Continuous
Appalachians  Cumberland Plateau,ORNL,35.96412,-84.2826,2010-01-01,h11v05,968.0,427.0,633.6000366,20.0,0b00010100,0b0,Continuous
Appalachians  Cumberland Plateau,ORNL,35.96412,-84.2826,2011-01-01,h11v05,968.0,427.0,638.9000244,18.0,0b00010010,0b0,Continuous
Appalachians  Cumberland Plateau,ORNL,35.96412,-84.2826,2012-01-01,h11v05,968.0,427.0,704.4000244,7.0,0b00000111,0b0,Continuous
Appalachians  Cumberland Plateau,ORNL,35.96412,-84.2826,2013-01-01,h11v05,968.0,427.0,792.2000122,22.0,0b00010110,0b0,Continuous
Appalachians  Cumberland Plateau,ORNL,35.96412,-84.2826,2014-01-01,h11v05,968.0,427.0,679.7000122,18.0,0b00010010,0b0,Continuous
Appalachians  Cumberland Plateau,ORNL,35.96412,-84.2826,2015-01-01,h11v05,968.0,427.0,740.0,16.0,0b00010000,0b0,Continuous
Appalachians  Cumberland Plateau,ORNL,35.96412,-84.2826,2016-01-01,h11v05,968.0,427.0,661.6000366,15.0,0b00001111,0b0,Continuous
Appalachians  Cumberland Plateau,ORNL,35.96412,-84.2826,2017-01-01,h11v05,968.0,427.0,718.2000122,22.0,0b00010110,0b0,Continuous
Appalachians  Cumberland Plateau,ORNL,35.96412,-84.2826,2018-01-01,h11v05,968.0,427.0,710.9000244,22.0,0b00010110,0b0,Continuous
Appalachians  Cumberland Plateau,ORNL,35.96412,-84.2826,2019-01-01,h11v05,968.0,427.0,748.9000244,12.0,0b00001100,0b0,Continuous
Appalachians  Cumberland Plateau,ORNL,35.96412,-84.2826,2020-01-01,h11v05,968.0,427.0,738.4000244,33.0,0b00100001,0b0,Continuous
Appalachians  Cumberland Plateau,ORNL,35.96412,-84.2826,2021-01-01,h11v05,968.0,427.0,734.9000244,26.0,0b00011010,0b0,Continuous
Appalachians  Cumberland Plateau,ORNL,35.96412,-84.2826,2022-01-01,h11v05,968.0,427.0,741.7999878,16.0,0b00010000,0b0,Continuous
Appalachians  Cumberland Plateau,ORNL,35.96412,-84.2826,2023-01-01,h11v05,968.0,427.0,762.4000244,20.0,0b00010100,0b0,Continuous
Atlantic Neotropical,GUAN,17.96955,-66.8687,2003-01-01,h11v07,487.0,1534.0,1458.3000488,11.0,0b00001011,0b0,Continuous
Atlantic Neotropical,GUAN,17.96955,-66.8687,2004-01-01,h11v07,487.0,1534.0,1626.7000732,4.0,0b00000100,0b0,Continuous
Atlantic Neotropical,GUAN,17.96955,-66.8687,2005-01-01,h11v07,487.0,1534.0,1489.7000732,11.0,0b00001011,0b0,Continuous
Atlantic Neotropical,GUAN,17.96955,-66.8687,2006-01-01,h11v07,487.0,1534.0,1626.7000732,2.0,0b00000010,0b0,Continuous
Atlantic Neotropical,GUAN,17.96955,-66.8687,2007-01-01,h11v07,487.0,1534.0,1473.0999756,7.0,0b00000111,0b0,Continuous
Atlantic Neotropical,GUAN,17.96955,-66.8687,2008-01-01,h11v07,487.0,1534.0,1482.4000244,2.0,0b00000010,0b0,Continuous
Atlantic Neotropical,GUAN,17.96955,-66.8687,2009-01-01,h11v07,487.0,1534.0,1578.5,2.0,0b00000010,0b0,Continuous
Atlantic Neotropical,GUAN,17.96955,-66.8687,2010-01-01,h11v07,487.0,1534.0,1555.0,18.0,0b00010010,0b0,Continuous
