hzname,siteid,plotid,horizonid,pittype,latitude,longitude,hzndept,hzndepb,modifieddept,modifieddepb,midpointcm,sandtotal,silttotal,claytotal,bulkdensovendry,bulkdensfieldmoist,fieldcapacity,wiltingpoint,ksat_T,ksat_T_std
Oe,BART,,,Megapit,44.06516,-71.28834,0,3,-3.0,0.0,1.5,34.3,53.9,11.8,,,,,29.171764,1.374105
A,BART,,,Megapit,44.06516,-71.28834,3,5,0.0,2.0,4.0,46.8,47.0,6.2,,,,,45.278245,1.678682
E,BART,,,Megapit,44.06516,-71.28834,5,9,2.0,6.0,7.0,59.3,37.0,3.7,,,,,60.270824,1.416375
Bs1,BART,,,Megapit,44.06516,-71.28834,9,15,6.0,12.0,12.0,61.8,34.6,3.6,,,,,62.665269,1.378561
Bs2,BART,,,Megapit,44.06516,-71.28834,15,22,12.0,19.0,18.5,63.3,32.9,3.8,,,,,62.736824,1.340947
Bw,BART,,,Megapit,44.06516,-71.28834,22,40,19.0,37.0,31.0,64.9,32.3,2.8,,,,,69.526842,1.380629
BC,BART,,,Megapit,44.06516,-71.28834,40,73,37.0,70.0,56.5,71.5,26.9,1.6,,,,,87.082203,1.39609
C1,BART,,,Megapit,44.06516,-71.28834,73,140,70.0,137.0,106.5,74.6,25.1,0.3,,,,,107.23019,1.500907
C2,BART,,,Megapit,44.06516,-71.28834,140,200,137.0,197.0,170.0,73.9,26.1,0.0,,,,,106.678916,1.539862
Oi,HARV,,,Megapit,42.5356111,-72.1755556,0,4,-4.0,0.0,2.0,53.3,31.0,15.7,,,,,19.858346,1.202809
A,HARV,,,Megapit,42.5356111,-72.1755556,4,9,0.0,5.0,6.5,58.8,29.5,11.7,,,,,30.268082,1.226642
Ap,HARV,,,Megapit,42.5356111,-72.1755556,9,17,5.0,13.0,13.0,60.1,28.7,11.2,,,,,32.253966,1.223137
B/E,HARV,,,Megapit,42.5356111,-72.1755556,17,32,13.0,28.0,24.5,63.9,26.2,9.9,,,,,38.351183,1.197829
Bw1,HARV,,,Megapit,42.5356111,-72.1755556,32,53,28.0,49.0,42.5,69.6,23.5,6.9,,,,,55.032328,1.162414
Bw2,HARV,,,Megapit,42.5356111,-72.1755556,53,82,49.0,78.0,67.5,87.2,9.7,3.1,,,,,251.807923,1.173565
2BC,HARV,,,Megapit,42.5356111,-72.1755556,82,96,78.0,92.0,89.0,94.2,4.2,1.6,,,,,713.131003,1.128622
2C,HARV,,,Megapit,42.5356111,-72.1755556,96,113,92.0,109.0,104.5,80.4,16.2,3.4,,,,,120.305459,1.25756
2Cd1,HARV,,,Megapit,42.5356111,-72.1755556,113,133,109.0,129.0,123.0,75.2,20.6,4.2,,,,,82.267084,1.223972
2Cd2,HARV,,,Megapit,42.5356111,-72.1755556,133,160,129.0,156.0,146.5,95.4,2.5,2.1,,,,,804.572224,1.109472
O,BLAN,,,Megapit,39.06013,-78.07135,0,2,-2.0,0.0,1.0,21.2,78.8,0.0,,,,,104.919331,2.796749
Ap1,BLAN,,,Megapit,39.06013,-78.07135,2,14,0.0,12.0,8.0,26.4,54.2,19.4,,,,,15.787964,1.245485
Ap2,BLAN,,,Megapit,39.06013,-78.07135,14,23,12.0,21.0,18.5,25.8,53.7,20.5,,,,,14.783927,1.248075
Bt1,BLAN,,,Megapit,39.06013,-78.07135,23,51,21.0,49.0,37.0,17.9,45.5,36.6,,,,,11.253757,1.286981
Bt2,BLAN,,,Megapit,39.06013,-78.07135,51,84,49.0,82.0,67.5,19.4,38.1,42.5,,,,,11.998341,1.3531
C1,BLAN,,,Megapit,39.06013,-78.07135,84,128,82.0,126.0,106.0,32.2,33.7,34.1,,,,,7.814569,1.42217
C2,BLAN,,,Megapit,39.06013,-78.07135,128,206,126.0,204.0,167.0,31.6,36.2,32.2,,,,,8.294758,1.36734
Oi,SCBI,,,Megapit,38.89209,-78.13764,0,2,-2.0,0.0,1.0,,,,,,,,,
A,SCBI,,,Megapit,38.89209,-78.13764,2,7,0.0,5.0,4.5,16.4,51.5,32.1,,,,,11.259951,1.270354
BA,SCBI,,,Megapit,38.89209,-78.13764,7,14,5.0,12.0,10.5,17.3,50.5,32.2,,,,,11.166884,1.270982
Bt1,SCBI,,,Megapit,38.89209,-78.13764,14,34,12.0,32.0,24.0,17.3,53.4,29.3,,,,,11.424981,1.260303
Bt2,SCBI,,,Megapit,38.89209,-78.13764,34,59,32.0,57.0,46.5,15.5,53.0,31.5,,,,,11.362572,1.268896
Bt3,SCBI,,,Megapit,38.89209,-78.13764,59,114,57.0,112.0,86.5,18.3,44.6,37.1,,,,,11.243087,1.290212
2Bt4,SCBI,,,Megapit,38.89209,-78.13764,114,146,112.0,144.0,130.0,14.1,51.0,34.9,,,,,11.579226,1.28534
2Bt5,SCBI,,,Megapit,38.89209,-78.13764,146,179,144.0,177.0,162.5,10.1,52.3,37.6,,,,,12.303488,1.318556
2BC,SCBI,,,Megapit,38.89209,-78.13764,179,209,177.0,207.0,194.0,28.1,39.0,32.9,,,,,9.334152,1.326125
2Cr,SCBI,,,Megapit,38.89209,-78.13764,209,247,207.0,245.0,228.0,,,,,,,,,
Oe,SERC,,,Megapit,38.8983028,-76.5588333,0,2,-2.0,0.0,1.0,61.7,26.8,11.5,,,,,32.393893,1.210486
A,SERC,,,Megapit,38.8983028,-76.5588333,2,13,0.0,11.0,7.5,61.6,25.8,12.6,,,,,29.636566,1.206626
EA,SERC,,,Megapit,38.8983028,-76.5588333,13,23,11.0,21.0,18.0,61.7,26.6,11.7,,,,,31.881176,1.209567
E,SERC,,,Megapit,38.8983028,-76.5588333,23,37,21.0,35.0,25.0,60.8,24.6,14.6,,,,,25.013945,1.206317
Bt1,SERC,,,Megapit,38.8983028,-76.5588333,37,60,35.0,58.0,48.5,52.7,16.1,31.2,,,,,9.452125,1.276268
Bt2,SERC,,,Megapit,38.8983028,-76.5588333,60,75,58.0,73.0,67.5,52.8,15.5,31.7,,,,,9.410974,1.279888
Bt3,SERC,,,Megapit,38.8983028,-76.5588333,75,85,73.0,83.0,80.0,50.85,19.7,29.45,,,,,9.413429,1.256195
Btg1,SERC,,,Megapit,38.8983028,-76.5588333,85,131,83.0,129.0,108.0,53.1,22.6,24.3,,,,,11.734614,1.221801
