site,years
ABBY,5.544145942657236
BARR,5.470223971404669
BART,5.911017948132938
BLAN,5.8589987831774275
BONA,5.21012814662712
CLBJ,5.448321165107613
CPER,6.44763670241083
DCFS,5.48391322534033
DEJU,5.984939919385504
DELA,5.585213704464218
DSNY,5.8589987831774275
GRSM,5.36618564149365
GUAN,4.602325271883793
HARV,5.900066544984409
HEAL,5.582475853677086
JERC,6.001367024108297
JORN,5.470223971404669
KONA,5.53593239029584
KONZ,5.538670241082972
LAJA,4.673509392349228
LENO,5.508553882424519
MLBS,5.451059015894745
MOAB,5.544145942657236
NIWO,5.467486120617537
NOGP,5.35249638755799
OAES,5.440107612746217
ONAQ,5.48391322534033
ORNL,6.20123013156894
OSBS,6.275152102821507
RMNP,5.894590843410145
SCBI,6.091716100083657
SERC,6.732373184272568
SJER,4.279258879002206
SOAP,5.412729104874895
SRER,5.467486120617537
STEI,5.418204806449159
STER,5.6016408091870105
TALL,5.470223971404669
TEAK,4.539354703779755
TOOL,5.481175374553198
TREE,5.544145942657236
UKFS,5.544145942657236
UNDE,5.8617366339645605
WOOD,5.464748269830405
WREF,4.640655182903643
YELL,4.262831774279413
